temperature_mean,humidity_mean,light_mean,co2_mean,tvoc_mean,pressure_mean,air_temperature_mean,is_work,total_energy
24.93,58.5,2.875,629.75,1.0,1003.8000000000001,35.400000000000006,1,5618.16
24.86,58.25,2.875,632.75,1.0,1003.75,35.6,1,5620.000000000002
25.040000000000003,57.75,2.875,639.0,1.0,1003.7,35.400000000000006,1,5621.634000000002
24.970000000000006,57.375,2.875,645.25,1.0,1003.6499999999999,35.2,1,5623.268000000002
24.96,57.125,2.875,655.75,1.0,1003.625,35.3,1,5624.902000000002
25.050000000000004,56.75,2.875,664.25,1.0,1003.6499999999999,35.4,1,5626.536000000002
24.85,56.375,2.875,675.25,1.0,1003.55,35.55,1,5628.170000000002
24.89,56.375,2.25,684.0,1.0,1003.475,35.7,1,5629.804000000001
24.84,56.0,2.25,691.5,1.0,1003.5,35.8,1,5631.438000000001
24.840000000000003,56.0,2.25,695.25,1.0,1003.5,35.9,1,5633.072000000001
24.94,55.75,2.25,699.0,1.0,1003.5,35.65,1,5634.706000000001
24.805,55.5,2.25,701.25,1.0,1003.475,35.4,1,5636.340000000001
24.76,55.375,2.25,704.25,1.0,1003.45,35.599999999999994,1,5637.830555555556
24.73,55.25,2.25,706.875,1.0,1003.35,35.8,1,5639.321111111112
24.86,55.125,2.25,711.0,1.0,1003.325,35.7,1,5640.811666666667
24.97,55.0,2.25,713.5,1.0,1003.3000000000001,35.6,1,5642.302222222223
24.979999999999997,54.875,2.25,718.0,1.0,1003.25,35.7,1,5643.792777777779
25.220000000000002,54.75,2.25,720.0,1.0,1003.1499999999999,35.8,1,5645.283333333334
25.24,55.0,2.25,722.5,1.0,1003.05,35.9,1,5646.792666666667
25.22,55.375,2.25,724.25,1.0,1003.05,36.0,1,5648.302000000001
24.96,55.125,2.25,724.75,1.0,1003.0,36.15,1,5649.811333333334
24.9,55.25,2.25,725.75,1.0,1002.95,36.3,1,5651.320666666667
24.86,55.1875,2.25,726.75,1.0,1002.85,36.15,1,5652.830000000001
24.75,55.0,2.25,726.5,1.0,1002.75,36.0,1,5654.118333333334
24.759999999999998,55.0,0.625,725.25,1.0,1002.7249999999999,35.85,1,5655.406666666668
24.720000000000002,54.625,0.75,723.25,1.0,1002.675,35.7,1,5656.695000000001
24.970000000000002,55.0,0.5,720.5,1.0,1002.5999999999999,36.2,1,5657.983333333334
25.029999999999998,55.125,0.5,718.25,1.0,1002.5749999999999,36.7,1,5659.271666666667
25.03,55.625,0.5,715.75,1.0,1002.55,36.25,1,5660.56
24.96,55.625,0.0,713.75,1.1625,1002.55,35.8,1,5661.925000000001
24.77,55.375,0.5,713.5,1.26,1002.45,35.65,1,5663.290000000001
24.63,55.0,0.0,713.25,1.2650000000000001,1002.325,35.5,1,5664.318571428572
24.95,55.0,0.0,717.25,1.2850000000000001,1002.2,35.95,1,5665.347142857144
25.020000000000003,54.875,0.0,720.5,1.225,1002.2249999999999,36.4,1,5666.375714285715
24.57,54.5,0.0,727.0,1.1825,1002.1499999999999,36.15,1,5667.404285714287
24.589999999999996,54.375,0.0,732.0,1.0425,1002.0999999999999,35.9,1,5668.432857142858
24.889999999999997,54.375,0.0,738.25,1.0,1002.075,36.55,1,5669.46142857143
24.83,54.25,0.0,742.25,1.0,1002.05,37.2,1,5670.490000000001
24.93,54.375,0.625,746.5,1.0,1001.925,36.5,1,5671.655000000001
25.03,54.375,1.5,751.0,1.0,1001.875,35.8,1,5672.820000000001
25.3,54.5,2.375,763.25,1.0,1001.825,36.25,1,5673.993333333334
25.279999999999998,54.625,2.375,772.5,1.0,1001.775,36.7,1,5675.166666666667
25.54,54.625,2.375,789.75,1.0,1001.6499999999999,36.95,1,5676.34
25.825,54.875,2.375,807.25,1.0,1001.625,37.2,1,5678.16625
25.8,54.5,2.375,837.5,1.0,1001.625,37.6,1,5679.9925
25.589999999999996,54.0,2.375,855.75,1.0,1001.55,38.0,1,5681.818749999999
25.339999999999996,53.625,2.875,874.75,1.0,1001.5,36.2,1,5683.6449999999995
25.099999999999998,53.375,2.875,885.25,1.0,1001.55,34.4,1,5685.47125
25.15,53.75,2.875,895.0,1.0,1001.475,35.0,1,5687.297499999999
25.21,53.875,2.875,901.0,1.0,1001.45,35.6,1,5689.123749999999
25.07,53.875,2.875,903.0,1.0,1001.4125,34.8,1,5690.949999999999
25.080000000000002,53.875,2.25,896.5,1.0,1001.35,34.0,1,5692.829999999999
25.09,54.125,2.25,879.5,1.0,1001.4,33.95,1,5694.709999999999
25.02,54.375,2.25,864.75,1.0,1001.4,33.9,1,5696.702499999999
25.220000000000002,54.375,2.25,838.5,1.0,1001.35,34.3,1,5698.695
25.290000000000003,54.5,2.25,822.625,1.0,1001.3249999999999,34.7,1,5700.687499999999
25.42,54.5,2.25,804.25,1.0,1001.3249999999999,35.2,1,5702.679999999999
26.07,54.625,2.25,798.0,1.0,1001.275,35.7,1,5704.571999999999
26.05,54.75,2.25,792.5,1.0,1001.25,35.150000000000006,1,5706.463999999999
25.73,54.875,1.75,789.5,1.0,1001.175,34.6,1,5708.356
25.610000000000003,54.625,1.75,790.0,1.0,1001.125,34.35,1,5710.248
25.520000000000003,54.625,1.75,791.75,1.0,1001.05,34.1,1,5712.139999999999
25.75,55.0,1.75,792.75,1.0,1000.95,34.150000000000006,1,5713.743333333333
25.810000000000002,54.875,1.75,793.25,1.0,1000.925,34.2,1,5715.346666666665
26.0,54.875,1.75,793.75,1.0,1000.9,34.1,1,5716.949999999999
26.060000000000002,54.875,1.75,794.75,1.0,1000.85,34.0,1,5718.509999999999
26.130000000000003,55.0625,1.75,796.0,1.0,1000.75,34.2,1,5720.07
26.130000000000003,55.25,1.75,796.75,1.0,1000.675,34.4,1,5721.459999999999
26.270000000000003,55.25,1.75,797.25,1.0,1000.625,34.3,1,5723.006666666666
26.270000000000003,55.375,1.75,797.25,1.0,1000.55,34.2,1,5724.553333333332
26.410000000000004,55.5,1.75,797.25,1.0,1000.525,34.25,1,5726.0999999999985
26.4,55.375,1.75,797.25,1.0,1000.5,34.3,1,5727.646666666666
26.420000000000005,55.5,1.75,797.0,1.0,1000.45,33.95,1,5729.193333333333
26.390000000000004,55.75,1.75,796.5,1.0,1000.4,33.6,1,5730.739999999999
26.4,55.75,1.75,794.75,1.0,1000.4,33.7,1,5732.286666666665
26.320000000000004,55.5,1.75,795.0,1.0,1000.325,33.8,1,5733.833333333332
26.640000000000004,55.5,1.75,794.0,1.0,1000.325,33.9,1,5735.622222222221
26.370000000000005,55.5,1.75,792.75,1.0,1000.25,34.0,1,5737.411111111111
26.220000000000006,55.625,1.75,791.25,1.0,1000.25,33.9,1,5739.2
26.110000000000003,55.5,1.75,790.5,1.0,1000.1499999999999,33.8,1,5740.99
26.3,55.625,1.75,789.25,1.0,1000.1499999999999,33.849999999999994,1,5742.78
26.040000000000003,55.625,2.375,788.25,1.0,1000.1499999999999,33.9,1,5744.57
26.110000000000003,55.375,2.375,785.5,1.0,1000.0999999999999,33.8,1,5746.36
26.03,55.75,2.375,784.5,1.0,1000.125,33.7,1,5748.15
25.970000000000006,55.875,2.375,783.25,1.0,1000.05,33.650000000000006,1,5749.94
25.76,55.6875,2.125,781.75,1.0,1000.0625,33.6,1,5751.73
25.720000000000006,55.5,1.75,780.75,1.0,1000.0999999999999,33.7,1,5753.5199999999995
25.68,54.875,1.75,779.5,1.0,1000.0999999999999,33.8,1,5755.548
25.870000000000005,54.4375,1.75,777.0,1.0,1000.1875,34.65,1,5757.576
25.95,54.0,2.25,775.5,1.0,1000.2,35.5,1,5759.603999999999
25.770000000000003,53.875,1.75,774.5,1.0,1000.1499999999999,35.15,1,5761.632
25.71,54.125,1.75,774.0,1.0,1000.2,34.8,1,5763.66
25.71,54.125,1.75,773.375,1.0,1000.1875,34.3,0,5765.546
25.53,53.75,1.75,772.5,1.0,1000.1499999999999,33.8,0,5767.432
25.550000000000004,53.75,1.75,771.25,1.0,1000.2,34.099999999999994,0,5769.317999999999
25.620000000000005,54.0,1.75,770.0,1.0,1000.3000000000001,34.4,0,5771.204
25.5,53.875,1.75,767.0,1.0,1000.375,34.349999999999994,0,5773.09
25.470000000000002,53.875,2.375,765.25,1.0,1000.375,34.3,0,5774.976
25.34,54.0,2.375,761.75,1.0,1000.4,33.95,0,5776.861999999999
25.280000000000005,53.875,2.375,759.5,1.0,1000.4250000000001,33.6,0,5778.748
25.18,53.6875,2.375,757.375,1.0,1000.5,34.0,0,5780.634
25.240000000000002,53.53125,2.375,755.1875,1.0,1000.5,34.4,0,5782.5199999999995
25.53,53.125,2.375,755.75,1.0,1000.55,34.5,0,5784.2162499999995
25.590000000000003,52.75,2.375,756.0,1.0,1000.5999999999999,34.6,0,5785.912499999999
25.440000000000005,52.4375,2.375,759.25,1.0,1000.6499999999999,34.25,0,5787.608749999999
25.530000000000005,51.96875,2.375,765.0625,1.008125,1000.7125000000001,33.9,0,5789.305
25.340000000000003,51.625,2.375,771.75,1.0162499999999999,1000.7875,33.75,0,5791.00125
25.410000000000004,51.5,2.375,777.0,1.010625,1000.775,33.6,0,5792.6975
25.42,51.25,2.375,784.125,1.005,1000.75,33.35,0,5794.39375
25.46,51.25,2.375,784.0,1.0025,1000.81875,33.1,0,5796.09
25.22,51.5,1.75,781.875,1.0,1000.8875,33.2,0,5797.66
24.67,51.90625,1.75,780.625,1.0,1000.99375,33.3,0,5799.3099999999995
24.82,52.0625,1.75,783.375,1.0,1000.95,33.25,0,5800.864444444444
24.729999999999997,52.28125,1.6666666666666667,782.3958333333334,1.0,1000.9729166666667,33.2,0,5802.418888888888
24.919999999999998,52.375,1.3333333333333335,784.6666666666666,1.0,1001.0208333333334,32.95,0,5803.973333333333
25.35,52.9375,1.25,783.8125,1.0,1001.1125,32.7,0,5805.527777777777
25.309999999999995,53.25,1.25,779.625,1.0,1001.2125000000001,32.85,0,5807.082222222222
25.57,53.3125,1.25,776.8125,1.0,1001.25,33.0,0,5808.636666666666
25.56,53.25,1.25,773.0,1.0,1001.2874999999999,33.2,0,5810.191111111111
25.54,53.3125,1.25,769.8125,1.0,1001.31875,33.4,0,5811.745555555555
25.670000000000005,53.375,1.25,766.625,1.0,1001.35,33.349999999999994,0,5813.3
25.790000000000003,53.53125,1.25,764.0,1.0,1001.375,33.3,0,5814.968
25.75,53.5625,1.25,761.375,1.0,1001.4250000000001,33.349999999999994,0,5816.6359999999995
25.8,53.59375,1.25,762.25,1.0037500000000001,1001.4375,33.4,0,5818.304
25.75,53.75,1.25,760.625,1.0075,1001.475,33.349999999999994,0,5819.972
25.740000000000002,53.75,1.25,755.75,1.0037500000000001,1001.475,33.3,0,5821.639999999999
25.740000000000002,54.0,1.25,714.375,1.0,1001.475,33.349999999999994,0,5823.17
25.740000000000002,54.5,0.625,689.0,1.0,1001.475,33.4,0,5824.381666666666
26.120000000000005,55.375,0.625,661.5,1.0,1001.45,33.3,0,5825.593333333333
26.24,55.375,0.625,647.5,1.0,1001.475,33.2,0,5826.805
26.25,55.375,0.625,635.25,1.0,1001.475,33.150000000000006,0,5828.016666666666
26.25,55.375,0.625,629.375,1.0,1001.45,33.1,0,5829.228333333333
26.25,55.625,0.625,621.75,1.0,1001.5,33.05,0,5830.44
26.26,55.625,0.625,617.0,1.0,1001.55,33.0,0,5831.33
26.25,55.5,0.625,613.75,1.0,1001.625,33.05,0,5832.220000000001
26.190000000000005,55.5,0.625,610.25,1.0,1001.625,33.1,0,5833.410000000001
26.120000000000005,55.25,0.625,609.0,1.0,1001.55,33.05,0,5834.600000000001
26.120000000000005,55.25,0.625,604.5,1.0,1001.525,33.0,0,5835.790000000001
26.090000000000003,54.875,0.875,604.25,1.0,1001.45,33.05,0,5836.892000000001
26.060000000000002,54.875,1.125,602.75,1.0,1001.425,33.1,0,5837.994000000001
26.160000000000004,54.875,0.625,601.25,1.0,1001.5,33.05,0,5839.0960000000005
26.119999999999997,54.625,0.625,600.0,1.0,1001.475,33.0,0,5840.198
26.130000000000003,54.625,0.625,598.5,1.0,1001.525,32.95,0,5841.300000000001
26.15,54.5,0.625,596.75,1.03,1001.525,32.9,0,5842.402000000001
26.119999999999997,54.375,0.625,594.75,1.0,1001.4250000000001,32.75,0,5843.504000000001
26.119999999999997,54.375,0.625,593.0,1.0,1001.35,32.6,0,5844.606000000001
26.060000000000002,54.5,0.625,591.25,1.0225,1001.3,32.55,0,5845.7080000000005
26.190000000000005,54.375,0.625,589.5,1.0,1001.25,32.5,0,5846.81
26.170000000000005,54.375,0.625,587.5,1.0,1001.2750000000001,32.4,0,5847.5633333333335
26.22,54.5,0.625,586.5,1.0,1001.3000000000001,32.3,0,5848.3166666666675
26.190000000000005,54.5,0.625,584.25,1.0,1001.35,32.3,0,5849.070000000001
26.190000000000005,54.5,0.625,581.375,1.0,1001.375,32.3,0,5849.82
26.18,54.5,0.625,579.25,1.0,1001.4250000000001,32.3,0,5850.513333333333
26.32,54.5,0.625,575.5,1.0,1001.375,32.3,0,5851.206666666667
26.29,54.5,0.625,573.0,1.0,1001.375,32.25,0,5851.900000000001
26.310000000000002,54.375,0.625,570.25,1.0,1001.3,32.2,0,5852.593333333334
26.389999999999997,54.5,0.625,568.0,1.0,1001.25,32.150000000000006,0,5853.286666666668
26.45,54.375,0.625,565.0,1.0,1001.2250000000001,32.1,0,5853.980000000001
26.369999999999997,54.375,0.625,562.0,1.0,1001.1499999999999,31.950000000000003,0,5854.635
26.51,54.375,0.625,559.25,1.0,1001.0999999999999,31.8,0,5855.29
